wrk_71 is done, it takes 13.000000sec
wrk_302 is done, it takes 85.000000sec
wrk_865 is done, it takes 51.000000sec
wrk_807 is done, it takes 62.000000sec
wrk_233 is done, it takes 134.000000sec
wrk_738 is done, it takes 31.000000sec
wrk_131 is done, it takes 100.000000sec
wrk_951 is done, it takes 11.000000sec
wrk_783 is done, it takes 36.000000sec
wrk_273 is done, it takes 118.000000sec
wrk_862 is done, it takes 52.000000sec
wrk_697 is done, it takes 96.000000sec
wrk_781 is done, it takes 36.000000sec
wrk_816 is done, it takes 10.000000sec
wrk_745 is done, it takes 68.000000sec
wrk_701 is done, it takes 39.000000sec
wrk_815 is done, it takes 10.000000sec
wrk_539 is done, it takes 76.000000sec
wrk_644 is done, it takes 99.000000sec
wrk_810 is done, it takes 21.000000sec
wrk_943 is done, it takes 34.000000sec
wrk_752 is done, it takes 66.000000sec
wrk_219 is done, it takes 151.000000sec
wrk_530 is done, it takes 66.000000sec
wrk_788 is done, it takes 27.000000sec
wrk_882 is done, it takes 52.000000sec
wrk_965 is done, it takes 8.000000sec
wrk_811 is done, it takes 7.000000sec
wrk_705 is done, it takes 46.000000sec
wrk_750 is done, it takes 71.000000sec
wrk_982 is done, it takes 10.000000sec
wrk_704 is done, it takes 49.000000sec
wrk_531 is done, it takes 162.000000sec
wrk_773 is done, it takes 39.000000sec
wrk_1016 is done, it takes 35.000000sec
wrk_886 is done, it takes 52.000000sec
wrk_317 is done, it takes 177.000000sec
wrk_687 is done, it takes 33.000000sec
wrk_371 is done, it takes 92.000000sec
wrk_934 is done, it takes 31.000000sec
wrk_967 is done, it takes 9.000000sec
wrk_801 is done, it takes 38.000000sec
wrk_643 is done, it takes 102.000000sec
wrk_880 is done, it takes 55.000000sec
wrk_1024 is done, it takes 37.000000sec
wrk_137 is done, it takes 108.000000sec
wrk_662 is done, it takes 103.000000sec
wrk_447 is done, it takes 144.000000sec
wrk_883 is done, it takes 55.000000sec
wrk_706 is done, it takes 49.000000sec
wrk_739 is done, it takes 72.000000sec
wrk_509 is done, it takes 62.000000sec
wrk_763 is done, it takes 73.000000sec
wrk_384 is done, it takes 89.000000sec
wrk_436 is done, it takes 150.000000sec
wrk_715 is done, it takes 50.000000sec
wrk_605 is done, it takes 34.000000sec
wrk_897 is done, it takes 40.000000sec
wrk_328 is done, it takes 98.000000sec
wrk_622 is done, it takes 77.000000sec
wrk_969 is done, it takes 16.000000sec
wrk_1010 is done, it takes 39.000000sec
wrk_348 is done, it takes 94.000000sec
wrk_962 is done, it takes 19.000000sec
wrk_689 is done, it takes 47.000000sec
wrk_620 is done, it takes 72.000000sec
wrk_875 is done, it takes 60.000000sec
wrk_493 is done, it takes 73.000000sec
wrk_484 is done, it takes 67.000000sec
wrk_626 is done, it takes 39.000000sec
wrk_448 is done, it takes 145.000000sec
wrk_974 is done, it takes 11.000000sec
wrk_495 is done, it takes 75.000000sec
wrk_851 is done, it takes 41.000000sec
wrk_966 is done, it takes 20.000000sec
wrk_1029 is done, it takes 39.000000sec
wrk_542 is done, it takes 85.000000sec
wrk_694 is done, it takes 55.000000sec
wrk_32 is done, it takes 298.000000sec
wrk_632 is done, it takes 94.000000sec
wrk_637 is done, it takes 108.000000sec
wrk_798 is done, it takes 15.000000sec
wrk_480 is done, it takes 85.000000sec
wrk_900 is done, it takes 43.000000sec
wrk_169 is done, it takes 176.000000sec
wrk_973 is done, it takes 19.000000sec
wrk_985 is done, it takes 35.000000sec
wrk_703 is done, it takes 112.000000sec
wrk_944 is done, it takes 46.000000sec
wrk_734 is done, it takes 80.000000sec
wrk_748 is done, it takes 67.000000sec
wrk_778 is done, it takes 50.000000sec
wrk_130 is done, it takes 116.000000sec
wrk_481 is done, it takes 114.000000sec
wrk_300 is done, it takes 166.000000sec
wrk_789 is done, it takes 45.000000sec
wrk_941 is done, it takes 46.000000sec
wrk_413 is done, it takes 123.000000sec
wrk_921 is done, it takes 17.000000sec
wrk_30 is done, it takes 313.000000sec
wrk_782 is done, it takes 14.000000sec
wrk_949 is done, it takes 26.000000sec
wrk_954 is done, it takes 10.000000sec
wrk_972 is done, it takes 10.000000sec
wrk_236 is done, it takes 138.000000sec
wrk_777 is done, it takes 50.000000sec
wrk_776 is done, it takes 49.000000sec
wrk_852 is done, it takes 82.000000sec
wrk_780 is done, it takes 49.000000sec
wrk_685 is done, it takes 71.000000sec
wrk_920 is done, it takes 18.000000sec
wrk_968 is done, it takes 26.000000sec
wrk_674 is done, it takes 117.000000sec
wrk_727 is done, it takes 55.000000sec
wrk_679 is done, it takes 51.000000sec
wrk_919 is done, it takes 21.000000sec
wrk_817 is done, it takes 20.000000sec
wrk_657 is done, it takes 113.000000sec
wrk_797 is done, it takes 24.000000sec
wrk_955 is done, it takes 21.000000sec
wrk_165 is done, it takes 84.000000sec
wrk_158 is done, it takes 87.000000sec
wrk_344 is done, it takes 86.000000sec
wrk_767 is done, it takes 88.000000sec
wrk_724 is done, it takes 59.000000sec
wrk_121 is done, it takes 123.000000sec
wrk_961 is done, it takes 32.000000sec
wrk_768 is done, it takes 89.000000sec
wrk_932 is done, it takes 28.000000sec
wrk_979 is done, it takes 29.000000sec
wrk_960 is done, it takes 36.000000sec
wrk_610 is done, it takes 94.000000sec
wrk_139 is done, it takes 124.000000sec
wrk_504 is done, it takes 91.000000sec
wrk_100 is done, it takes 172.000000sec
wrk_1019 is done, it takes 58.000000sec
wrk_309 is done, it takes 117.000000sec
wrk_717 is done, it takes 63.000000sec
wrk_994 is done, it takes 47.000000sec
wrk_785 is done, it takes 27.000000sec
wrk_627 is done, it takes 57.000000sec
wrk_983 is done, it takes 52.000000sec
wrk_714 is done, it takes 74.000000sec
wrk_721 is done, it takes 66.000000sec
wrk_403 is done, it takes 117.000000sec
wrk_1028 is done, it takes 58.000000sec
wrk_470 is done, it takes 134.000000sec
wrk_976 is done, it takes 34.000000sec
wrk_138 is done, it takes 133.000000sec
wrk_446 is done, it takes 169.000000sec
wrk_241 is done, it takes 157.000000sec
wrk_584 is done, it takes 106.000000sec
wrk_680 is done, it takes 62.000000sec
wrk_224 is done, it takes 123.000000sec
wrk_1018 is done, it takes 64.000000sec
wrk_266 is done, it takes 57.000000sec
wrk_207 is done, it takes 170.000000sec
wrk_505 is done, it takes 113.000000sec
wrk_276 is done, it takes 143.000000sec
wrk_345 is done, it takes 104.000000sec
wrk_315 is done, it takes 101.000000sec
wrk_206 is done, it takes 172.000000sec
wrk_923 is done, it takes 38.000000sec
wrk_958 is done, it takes 48.000000sec
wrk_460 is done, it takes 140.000000sec
wrk_818 is done, it takes 25.000000sec
wrk_758 is done, it takes 21.000000sec
wrk_611 is done, it takes 110.000000sec
wrk_963 is done, it takes 47.000000sec
wrk_358 is done, it takes 127.000000sec
wrk_753 is done, it takes 103.000000sec
wrk_950 is done, it takes 38.000000sec
wrk_917 is done, it takes 43.000000sec
wrk_544 is done, it takes 60.000000sec
wrk_819 is done, it takes 18.000000sec
wrk_486 is done, it takes 42.000000sec
wrk_453 is done, it takes 143.000000sec
wrk_888 is done, it takes 80.000000sec
wrk_736 is done, it takes 111.000000sec
wrk_710 is done, it takes 89.000000sec
wrk_953 is done, it takes 44.000000sec
wrk_1000 is done, it takes 75.000000sec
wrk_496 is done, it takes 108.000000sec
wrk_347 is done, it takes 77.000000sec
wrk_683 is done, it takes 42.000000sec
wrk_162 is done, it takes 141.000000sec
wrk_809 is done, it takes 38.000000sec
wrk_1025 is done, it takes 78.000000sec
wrk_548 is done, it takes 119.000000sec
wrk_625 is done, it takes 80.000000sec
wrk_716 is done, it takes 88.000000sec
wrk_732 is done, it takes 85.000000sec
wrk_907 is done, it takes 79.000000sec
wrk_980 is done, it takes 54.000000sec
wrk_971 is done, it takes 44.000000sec
wrk_872 is done, it takes 97.000000sec
wrk_1017 is done, it takes 81.000000sec
wrk_904 is done, it takes 79.000000sec
wrk_878 is done, it takes 94.000000sec
wrk_922 is done, it takes 52.000000sec
wrk_981 is done, it takes 55.000000sec
wrk_1009 is done, it takes 80.000000sec
wrk_1003 is done, it takes 82.000000sec
wrk_253 is done, it takes 140.000000sec
wrk_449 is done, it takes 80.000000sec
wrk_1022 is done, it takes 81.000000sec
wrk_812 is done, it takes 71.000000sec
wrk_475 is done, it takes 148.000000sec
wrk_928 is done, it takes 54.000000sec
wrk_106 is done, it takes 155.000000sec
wrk_820 is done, it takes 29.000000sec
wrk_759 is done, it takes 37.000000sec
wrk_730 is done, it takes 91.000000sec
wrk_948 is done, it takes 65.000000sec
wrk_718 is done, it takes 97.000000sec
wrk_1020 is done, it takes 84.000000sec
wrk_205 is done, it takes 188.000000sec
wrk_924 is done, it takes 90.000000sec
wrk_976 is done, it takes 21.000000sec
wrk_824 is done, it takes 4.000000sec
wrk_1002 is done, it takes 78.000000sec
wrk_326 is done, it takes 119.000000sec
wrk_711 is done, it takes 101.000000sec
wrk_999 is done, it takes 79.000000sec
wrk_731 is done, it takes 96.000000sec
wrk_333 is done, it takes 171.000000sec
wrk_918 is done, it takes 62.000000sec
wrk_774 is done, it takes 94.000000sec
wrk_1001 is done, it takes 94.000000sec
wrk_26 is done, it takes 374.000000sec
wrk_814 is done, it takes 71.000000sec
wrk_870 is done, it takes 104.000000sec
wrk_324 is done, it takes 180.000000sec
wrk_975 is done, it takes 66.000000sec
wrk_105 is done, it takes 168.000000sec
wrk_964 is done, it takes 67.000000sec
wrk_133 is done, it takes 136.000000sec
wrk_857 is done, it takes 124.000000sec
wrk_970 is done, it takes 34.000000sec
wrk_813 is done, it takes 83.000000sec
wrk_822 is done, it takes 32.000000sec
wrk_655 is done, it takes 166.000000sec
wrk_884 is done, it takes 118.000000sec
wrk_956 is done, it takes 86.000000sec
wrk_893 is done, it takes 117.000000sec
wrk_902 is done, it takes 45.000000sec
wrk_823 is done, it takes 23.000000sec

wrk_1026 is done, it takes 101.000000sec
wrk_991 is done, it takes 97.000000sec
wrk_332 is done, it takes 110.000000sec
wrk_346 is done, it takes 140.000000sec
wrk_192 is done, it takes 168.000000sec
wrk_1012 is done, it takes 101.000000sec
wrk_1004 is done, it takes 111.000000sec
wrk_861 is done, it takes 81.000000sec
wrk_1023 is done, it takes 110.000000sec
wrk_538 is done, it takes 150.000000sec
wrk_905 is done, it takes 87.000000sec
wrk_744 is done, it takes 151.000000sec
wrk_959 is done, it takes 51.000000sec
wrk_864 is done, it takes 131.000000sec
wrk_957 is done, it takes 95.000000sec
wrk_930 is done, it takes 89.000000sec
wrk_172 is done, it takes 155.000000sec
wrk_1027 is done, it takes 118.000000sec
wrk_998 is done, it takes 108.000000sec
wrk_828 is done, it takes 8.000000sec
wrk_989 is done, it takes 53.000000sec
wrk_978 is done, it takes 84.000000sec
wrk_997 is done, it takes 113.000000sec
wrk_915 is done, it takes 59.000000sec
wrk_830 is done, it takes 5.000000sec
wrk_947 is done, it takes 117.000000sec
wrk_996 is done, it takes 115.000000sec
wrk_720 is done, it takes 131.000000sec
wrk_25 is done, it takes 411.000000sec
wrk_1021 is done, it takes 127.000000sec
wrk_925 is done, it takes 100.000000sec
wrk_977 is done, it takes 67.000000sec
wrk_892 is done, it takes 141.000000sec
wrk_1011 is done, it takes 121.000000sec
wrk_827 is done, it takes 25.000000sec
wrk_151 is done, it takes 207.000000sec
wrk_821 is done, it takes 80.000000sec
wrk_952 is done, it takes 115.000000sec
wrk_826 is done, it takes 31.000000sec
wrk_829 is done, it takes 32.000000sec
wrk_831 is done, it takes 19.000000sec
wrk_416 is done, it takes 112.000000sec
wrk_935 is done, it takes 142.000000sec
wrk_1013 is done, it takes 142.000000sec
wrk_912 is done, it takes 89.000000sec
wrk_992 is done, it takes 89.000000sec
wrk_987 is done, it takes 95.000000sec
wrk_832 is done, it takes 26.000000sec
wrk_174 is done, it takes 150.000000sec
wrk_993 is done, it takes 93.000000sec
wrk_1006 is done, it takes 65.000000sec
wrk_986 is done, it takes 67.000000sec
wrk_490 is done, it takes 69.000000sec
wrk_834 is done, it takes 29.000000sec
wrk_936 is done, it takes 97.000000sec
wrk_926 is done, it takes 101.000000sec
wrk_1015 is done, it takes 156.000000sec
wrk_1014 is done, it takes 157.000000sec
wrk_988 is done, it takes 102.000000sec
wrk_990 is done, it takes 107.000000sec
wrk_833 is done, it takes 19.000000sec
wrk_153 is done, it takes 242.000000sec
wrk_362 is done, it takes 114.000000sec
wrk_913 is done, it takes 120.000000sec
wrk_316 is done, it takes 124.000000sec
wrk_891 is done, it takes 190.000000sec
wrk_937 is done, it takes 101.000000sec
wrk_995 is done, it takes 134.000000sec
wrk_825 is done, it takes 68.000000sec
wrk_712 is done, it takes 109.000000sec
wrk_835 is done, it takes 73.000000sec
wrk_175 is done, it takes 146.000000sec
wrk_868 is done, it takes 248.000000sec
wrk_1007 is done, it takes 131.000000sec
wrk_1005 is done, it takes 103.000000sec
wrk_218 is done, it takes 97.000000sec
wrk_1008 is done, it takes 134.000000sec
wrk_856 is done, it takes 107.000000sec
wrk_471 is done, it takes 211.000000sec
wrk_173 is done, it takes 182.000000sec
wrk_28 is done, it takes 223.000000sec
wrk_29 is done, it takes 215.000000sec
wrk_31 is done, it takes 536.000000sec
